spin_half,charge_1_3,has_charge,Strong,EM,Weak,logMass,stable_band,novelty,novelty_norm,propagation_fraction,measurability,score_v02,universal_potential_speed_mps
0,-4,1,1,1,0,-1,1,1.5016997172591886,0.8518495018946404,0.0,0.8,0.7485172260420523,299792458
0,6,1,1,1,1,-6,1,1.2759772387594537,0.7238068721554781,0.0,1.0,0.7480937796855129,299792458
0,-5,1,1,1,1,-5,0,1.2759772387594535,0.723806872155478,0.0,1.0,0.7480937796855129,299792458
0,-5,1,1,1,1,-6,1,1.2759772387594535,0.723806872155478,0.0,1.0,0.7480937796855129,299792458
0,-4,1,1,1,0,0,1,1.5,0.8508853255789891,0.0,0.8,0.747986929068444,299792458
0,-4,1,1,1,0,1,0,1.5,0.8508853255789891,0.0,0.8,0.747986929068444,299792458
0,-4,1,1,1,0,3,0,1.5,0.8508853255789891,0.0,0.8,0.747986929068444,299792458
0,-1,1,1,1,0,-6,0,1.5,0.8508853255789891,0.0,0.8,0.747986929068444,299792458
0,5,1,1,1,0,0,1,1.5,0.8508853255789891,0.0,0.8,0.747986929068444,299792458
0,6,1,1,1,0,4,0,1.5,0.8508853255789891,0.0,0.8,0.747986929068444,299792458
0,2,1,1,1,0,-4,0,1.5,0.8508853255789891,0.0,0.8,0.747986929068444,299792458
0,4,1,1,1,1,-7,0,1.2733087578210416,0.7222931579740901,0.0,1.0,0.7472612368857496,299792458
0,5,1,1,1,1,-6,0,1.2733087578210416,0.7222931579740901,0.0,1.0,0.7472612368857496,299792458
0,4,1,1,1,0,-5,1,1.496215937463331,0.8487387900566392,0.0,0.8,0.7468063345311515,299792458
0,-3,1,1,1,0,-5,1,1.496215937463331,0.8487387900566392,0.0,0.8,0.7468063345311515,299792458
0,5,1,1,1,0,-1,0,1.496215937463331,0.8487387900566392,0.0,0.8,0.7468063345311515,299792458
0,1,1,1,1,0,-4,0,1.496215937463331,0.8487387900566392,0.0,0.8,0.7468063345311515,299792458
